paridigitata "Same as Artiodactyla."
beleaguerer "One who beleaguers."
bandon "Disposal; control; license."
self-delation "Accusation of one's self."
emeraud "An emerald."
concerned "of Concern"
colluded "of Collude"
cylindricity "The quality or condition of being cylindrical."
handy "Performed by the hand."
forty "Four times ten; thirty-nine and one more."
sternly "In a stern manner."
clancular "Conducted with secrecy; clandestine; concealed."
confiscating "of Confiscate"
anxietude "The state of being anxious; anxiety."
shingler "One who shingles."
guarantied "of Guaranty"
-ible "See -able."
corporality "The state of being or having a body; bodily existence; corporeality; -- opposed to spirituality."
prelumbar "Situated immediately in front of the loins; -- applied to the dorsal part of the abdomen."
marmoration "A covering or incrusting with marble; a casing of marble; a variegating so as to resemble marble."
quintessential "Of the nature of a quintessence; purest."
quotum "Part or proportion; quota."
demephitize "To purify from mephitic or foul air."
mewled "of Mewl"
mopsy "A moppet."
overpassionate "Passionate to excess."
stanniferous "Containing or affording tin."
filleting "of Fillet"
gowned "Dressed in a gown; clad."
ceroma "The unguent with which wrestlers were anointed among the ancient Romans."
damassin "A kind of modified damask or brocade."
flunlyism "The quality or characteristics of a flunky; readiness to cringe to those who are superior in wealth or position; toadyism."
guardsmen "of Guardsman"
theorematist "One who constructs theorems."
besetting "of Beset"
shyness "The quality or state of being shy."
dummador "A dumbledor."
infrugiferous "Not bearing fruit; not fructiferous."
trainband "A band or company of an organized military force instituted by James I. and dissolved by Charles II.; -- afterwards applied to the London militia."
spheroconic "A nonplane curve formed by the intersection of the surface of an oblique cone with the surface of a sphere whose center is at the vertex of the cone."
septangle "A figure which has seven angles; a heptagon."
debauchedness "The state of being debauched; intemperance."
looker "One who looks."
pestalozzian "An advocate or follower of the system of Pestalozzi."
narcotic "Having the properties of a narcotic; operating as a narcotic."
venae "of Vena"
befringe "To furnish with a fringe; to form a fringe upon; to adorn as with fringe."
intestine "Internal; inward; -- opposed to external."
skinner "One who skins."
divestment "The act of divesting."
drowsed "of Drowse"
whethering "The retention of the afterbirth in cows."
pau "See Pah."
emphatically "With emphasis; forcibly; in a striking manner or degree; preeminently."
welcome "Salutation to a newcomer."
repetition "The act of repeating; a doing or saying again; iteration."
sainted "of Saint"
daddled "of Dadle"
supernatation "The act of floating on the surface of a fluid."
entomologize "To collect specimens in the study of entomology."
thallate "A salt of a hypothetical thallic acid."
irrotational "Not rotatory; passing from one point to another by a movement other than rotation; -- said of the movement of parts of a liquid or yielding mass."
arising "of Arise"
marc "A German coin and money of account. See Mark."
cabalistic "Alt. of Cabalistical"
erasable "Capable of being erased."
matt "See Matte."
epistolizer "A writer of epistles."
bugaboo "Alt. of Bugbear"
hunger-starve "To starve with hunger; to famish."
dog-weary "Extremely weary."
slag "The scoria of a volcano."
guardiance "Guardianship."
livelily "In a lively manner."
comparate "One of two things compared together."
demonize "To convert into a demon; to infuse the principles or fury of a demon into."
macroura "Alt. of Macroural"
legement "See Ledgment."
deserver "One who deserves."
elusive "Tending to elude; using arts or deception to escape; adroitly escaping or evading; eluding the grasp; fallacious."
sympathy "Kindness of feeling toward one who suffers; pity; commiseration; compassion."
pharmacist "One skilled in pharmacy; a pharmaceutist; a druggist."
gesticulator "One who gesticulates."
powerful "Large; capacious; -- said of veins of ore."
congrue "To agree; to be suitable."
screed "A fragment; a portion; a shred."
libraries "of Library"
impetrable "Capable of being obtained or moved by petition."
pointlessly "Without point."
rectinerved "Having the veins or nerves straight; -- said of leaves."
inquisitionary "Inquisitional."
afrit "Alt. of Afreet"
diorism "Definition; logical direction."
stem-clasping "Embracing the stem with its base; amplexicaul; as a leaf or petiole."
volcanian "Volcanic."
persecuting "of Persecute"
commercing "of Commerce"
thrittene "Thirteen."
forbid "of Forbid"
alabastrum "A flower bud."
enteritis "An inflammation of the intestines."
pigmentary "Of or pertaining to pigments; furnished with pigments."
brag "To boast of."
impropitious "Unpropitious; unfavorable."
populator "One who populates."
camerated "of Camerate"
enoint "Anointed."
haggard "A young or untrained hawk or falcon."
jeoparder "One who puts in jeopardy."
abannition "Banishment."
pedipalp "One of the Pedipalpi."
debater "One who debates; one given to argument; a disputant; a controvertist."
ectypography "A method of etching in which the design upon the plate is produced in relief."
incorruptness "Freedom or exemption from decay or corruption."
oenophilist "A lover of wine."
cloudiness "The state of being cloudy."
ahorseback "On horseback."
swill "To wash; to drench."
ygo "Gone."
appian "Of or pertaining to Appius."
perichaetous "Surrounded by setae; -- said of certain earthworms ."
coarctation "Confinement to a narrow space."
immanifest "Not manifest."
gowdnook "The saury pike; -- called also gofnick."
tout "To act as a tout. See 2d Tout."
ascending "of Ascend"
majesties "of Majesty"
condoling "of Condole"
chars-a-banc "of Char-a-bancs"
effluence "That which flows or issues from any body or substance; issue; efflux."
modally "In a modal manner."
ephemeran "One of the ephemeral flies."
skedaddled "of Skedaddle"
weighted "of Weight"
secretarial "Of or pertaining to a secretary; befitting a secretary."
lipothymic "Tending to swoon; fainting."
dimidiating "of Dimidiate"
brandishing "of Brandish"
staggering "of Stagger"
timenoguy "A rope carried taut between or over obstacles likely to engage or foul the running rigging in working a ship."
developed "of Develop"
pousse "Pulse; pease."
quantity "To modify or qualify with respect to quantity; to fix or express the quantity of; to rate."
hybridized "of Hybridize"
confusedly "In a confused manner."
rune "Old Norse poetry expressed in runes."
maximization "The act or process of increasing to the highest degree."
translucent "Transmitting rays of light without permitting objects to be distinctly seen; partially transparent."
unpenitent "Impenitent."
armilla "An armil."
corona "A crown or garland bestowed among the Romans as a reward for distinguished services."
ilke "Same."
delamination "Formation and separation of laminae or layers; one of the methods by which the various blastodermic layers of the ovum are differentiated."
grecized "of Grecize"
primarily "In a primary manner; in the first place; in the first place; in the first intention; originally."
accept "To receive with favor; to approve."
cribbing "of Crib"
confeder "To confederate."
coachbox "The seat of a coachman."
pask "See Pasch."
ovaria "of Ovarium"
lithotyped "of Lithotype"
jutted "of Jut"
kydde "of Kithe"
hurries "A staith or framework from which coal is discharged from cars into vessels."
captivate "To take prisoner; to capture; to subdue."
interfulgent "Shining between."
perianth "A saclike involucre which incloses the young fruit in most hepatic mosses. See Illust. of Hepatica."
zoologer "A zoologist."
remorse "Sympathetic sorrow; pity; compassion."
vitalized "of Vitalize"
rhea "Any one of three species of large South American ostrichlike birds of the genera Rhea and Pterocnemia. Called also the American ostrich."
encamping "of Encamp"
physiologies "of Physiology"
sporogenesis "reproduction by spores."
seasick "Affected with seasickness."
haubergeon "See Habergeon."
hooting "of Hoot"
death "Manner of dying; act or state of passing from life."
pseudotineae "of Pseudotinea"
sabrebill "The curlew."
plateresque "Resembling silver plate; -- said of certain architectural ornaments."
portending "of Portend"
convocated "of Convocate"
sonnet "To compose sonnets."
suprarenal "A suprarenal capsule."
owlism "Affected wisdom; pompous dullness."
beechnut "The nut of the beech tree."
topknot "A small Europen flounder . The name is also applied to allied species."
muffineer "A dish for keeping muffins hot."
swart "Sward."
lithesome "Pliant; limber; flexible; supple; nimble; lissom."
tempo "The rate or degree of movement in time."
peeping "of Peep"
finchbacked "Streaked or spotted on the back; -- said of cattle."
corresponsive "Corresponding; conformable; adapted."
lenticellate "Producing lenticels; dotted with lenticels."
pneumatological "Of or pertaining to pneumatology."
pernicious "Quick; swift ."
shemite "A descendant of Shem."
decreer "One who decrees."
upbreathe "To breathe up or out; to exhale."
long-sightedness "See Hypermetropia."
scantily "In a scanty manner; not fully; not plentifully; sparingly; parsimoniously."
preconsolidated "Consolidated beforehand."
sotadic "A Sotadic verse or poem."
banded "of Band"
frontignan "A grape of many varieties and colors."
geodetically "In a geodetic manner; according to geodesy."
substantialized "of Substantialize"
aphorism "A comprehensive maxim or principle expressed in a few words; a sharply defined sentence relating to abstract truth rather than to practical matters."
saltly "With taste of salt; in a salt manner."
macrobiotic "Long-lived."
otherness "The quality or state of being other or different; alterity; oppositeness."
guessive "Conjectural."
pulvillus "One of the minute cushions on the feet of certain insects."
transmeate "To pass over or beyond."
synangia "of Synangium"
ranty "Wild; noisy; boisterous."
meloplasty "The process of restoring a cheek which has been destroyed wholly or in part."
cast "of Cast"
gripple "A grasp; a gripe."
titter-totter "See Teeter."
phylactolaema "Alt. of Phylactolaemata"
spurned "of Spurn"
quipus "of Quipu"
grinningly "In a grinning manner."
devilet "A little devil."
disparagingly "In a manner to disparage or dishonor; slightingly."
ditched "of Ditch"
blockaded "of Blockade"
distempering "of Distemper"
noise "Sound of any kind."
newtonian "A follower of Newton."
cheap-jack "Alt. of Cheap-john"
flaminical "Pertaining to a flamen."
immortalist "One who holds the doctrine of the immortality of the soul."
slumping "of Slump"
adelantadillo "A Spanish red wine made of the first ripe grapes."
stannyel "Alt. of Stanyel"
lemonade "A beverage consisting of lemon juice mixed with water and sweetened."
sprinting "of Sprint"
plaisance "See Pleasance."
inabstinence "Want of abstinence; indulgence."
somnambulation "The act of walking in sleep."
cellos "of Cello"
subuliform "Subulate."
germless "Without germs."
martern "Same as Marten."
tawdry "Bought at the festival of St. Audrey."
alchymist "Alt. of Alchymy"
surfacing "of Surface"
uncomprehend "To fail to comprehend."
bedabbled "of Bedabble"
reticularian "One of the Reticularia."
judicious "Of or relating to a court; judicial."
irrelative "Not relative; without mutual relations; unconnected."
cima "A kind of molding. See Cyma."
tooth "Fig.: Taste; palate."
bore "of Bear"
deraign "Alt. of Derain"
snuggling "of Snuggle"
phthisiology "A treatise on phthisis."
capful "As much as will fill a cap."
shambling "of Shamble"
aristocracy "Government by the best citizens."
resorbent "Swallowing up."
rubicund "Inclining to redness; ruddy; red."
calando "Gradually diminishing in rapidity and loudness."
pacing "of Pace"
soberness "The quality or state of being sober."
anastatic "Pertaining to a process or a style of printing from characters in relief on zinc plates."
discriminated "of Discriminate"
auntter "Adventure; hap."
self-opinioned "Having a high opinion of one's self; opinionated; conceited."
distasteful "Unpleasant or disgusting to the taste; nauseous; loathsome."
dreggy "Containing dregs or lees; muddy; foul; feculent."
stackstand "A staging for supporting a stack of hay or grain; a rickstand."
hypophysial "Of or pertaining to the hypophysis; pituitary."
foamingly "With foam; frothily."
ectodermic "Of or relating to the ectoderm."
pyx "A box used in the British mint as a place of deposit for certain sample coins taken for a trial of the weight and fineness of metal before it is sent from the mint."
reasonless "Void of reason; not warranted or supported by reason; unreasonable."
golden "Made of gold; consisting of gold."
trifacial "See Trigeminal."
motioner "One who makes a motion; a mover."
misrelation "Erroneous relation or narration."
nightless "Having no night."
playgame "Play of children."
rheumides "The class of skin disease developed by the dartrous diathesis. See under Dartrous."
kyaw "A daw."
milliary "A milestone."
heriotable "Subject to the payment of a heriot."
alcoholization "The act of reducing a substance to a fine or impalpable powder."
scepter "Alt. of Sceptre"
lapidifical "Forming or converting into stone."
desiccated "of Desiccate"
squeaking "of Squeak"
prosiness "The quality or state of being prosy; tediousness; tiresomeness."
lubrication "The act of lubricating; the act of making slippery."
assoilment "A soiling; defilement."
hastile "Same as Hastate."
columbo "See Calumba."
effection "Creation; a doing."
deviation "The state or result of having deviated; a transgression; an act of sin; an error; an offense."
luskish "Inclined to be lazy."
lappeting "of Lappet"
lumachel "Alt. of Lumachella"
epidemic "Alt. of Epidemical"
culmen "Top; summit; acme."
laminary "Laminar."
fimbriate "To hem; to fringe."
dairymen "of Dairyman"
par "See Parr."
figure "The form of anything; shape; outline; appearance."
absinthic "Relating to the common wormwood or to an acid obtained from it."
abomination "A cause of pollution or wickedness."
spiculiform "Having the shape of a spicule."
sceptered "of Sceptre"
green-stall "A stall at which greens and fresh vegetables are exposed for sale."
detaining "of Detain"
expectable "That may be expected or looked for."
parrying "of Parry"
good-humored "Having a cheerful spirit and demeanor; good-tempered. See Good-natured."
bismillah "An adjuration or exclamation common among the Mohammedans."
swaddler "A term of contempt for an Irish Methodist."
slate "An argillaceous rock which readily splits into thin plates; argillite; argillaceous schist."
cleaving "of Cleave"
dodecastyle "Having twelve columns in front."
trad "imp. of Tread."
frictionless "Having no friction."
mahometry "Mohammedanism."
immersion "The state of being overhelmed or deeply absorbed; deep engagedness."
pronuclei "of Pronucleus"
ownerless "Without an owner."
pise "A species of wall made of stiff earth or clay rammed in between molds which are carried up as the wall rises; -- called also pise work."
intensity "The degree or depth of shade in a picture."
jewelling "of Jewel"
dudgeon "The haft of a dagger."
dorser "See Dosser."
cogitating "of Cogitate"
testudineous "Resembling the shell of a tortoise."
bespangled "of Bespangle"
slaved "of Slave"
feriae "of Feria"
mesaraic "Mesenteric."
storm "To raise a tempest."
hydras "of Hydra"
screening "of Screen"
nimiety "State of being in excess."
fare "To go; to pass; to journey; to travel."
tray "To betray; to deceive."
heliograph "A picture taken by heliography; a photograph."
bolivian "Of or pertaining to Bolivia."
loggat "A small log or piece of wood."
pyrrhonism "Skepticism; universal doubt."
dimetric "Same as Tetragonal."
planimetric "Alt. of Planimetrical"
columbate "A salt of columbic acid; a niobate. See Columbium."
amassing "of Amass"
ouphen "Elfish."
solvableness "Quality of being solvable."
whilk "The scoter."
foddering "of Fodder"
albinotic "Affected with albinism."
bewetted "of Bewet"
woundless "Free from wound or hurt; exempt from being wounded; invulnerable."
bengalese "Of or pertaining to Bengal."
peregrinity "Foreignness; strangeness."
squeeze "The act of one who squeezes; compression between bodies; pressure."
razeeing "of Razee"
grapholite "Any species of slate suitable to be written on."
laplandish "Of or pertaining to Lapland."
portraying "of Portray"
illuminized "of Illuminize"
queencraft "Craft or skill in policy on the part of a queen."
prudently "In a prudent manner."
lactescence "The latex of certain plants. See Latex."
enstamp "To stamp; to mark as /ith a stamp; to impress deeply."
disembroiled "of Disembroil"
relive "To live again; to revive."
levigable "Capable of being levigated."
gurry "A small fort."
ataxy "Disorder; irregularity."
speet "To stab."
straw "Anything proverbially worthless; the least possible thing; a mere trifle."
asynartete "Disconnected; not fitted or adjusted."
opifice "Workmanship."
oxycrate "A Mixture of water and vinegar."
pulverizing "of Pulverize"
pock-pudding "A bag pudding; a name of reproach or ridicule formerly applied by the Scotch to the English."
madrilenian "A native or inhabitant of Madrid."
whisp "See Wisp."
subact "To reduce; to subdue."
indulgently "In an indulgent manner; mildly; favorably."
asseverative "Characterized by asseveration; asserting positively."
ungored "Not stained with gore; not bloodied."
aland "On land; to the land; ashore."
scrimp "Short; scanty; curtailed."
worried "of Worry"
woodman "A forest officer appointed to take care of the king's woods; a forester."
capellmeister "The musical director in royal or ducal chapel; a choir-master."
citizeness "A female citizen."
inappetency "Want of appetency; want of desire."
lotus "A genus of leguminous plants much resembling clover."
trephined "of Trephine"
jack "A device to pull off boots."
cropped "of Crop"
permiss "A permitted choice; a rhetorical figure in which a thing is committed to the decision of one's opponent."
scrutinizing "of Scrutinize"
implied "of Imply"
reichsstand "A free city of the former German empire."
soken "A district held by socage."
misbede "To wrong; to do injury to."
confidentially "In confidence; in reliance on secrecy."
flocculated "of Flocculate"
reave "To take away by violence or by stealth; to snatch away; to rob; to despoil; to bereave. [Archaic]"
reviviscence "Alt. of Reviviscency"
minuend "The number from which another number is to be subtracted."
carnage "Flesh of slain animals or men."
nurser "One who nurses; a nurse; one who cherishes or encourages growth."
inducement "Matter stated by way of explanatory preamble or introduction to the main allegations of a pleading; a leading to."
yearbook "A book containing annual reports of cases adjudged in the courts of England."
bivouac "An encampment for the night without tents or covering."
aldermanry "The district or ward of an alderman."
juneating "A kind of early apple."
anthropopathical "Of or pertaining to anthropopathy."
octahedrite "Titanium dioxide occurring in acute octahedral crystals."
dogmatist "One who dogmatizes; one who speaks dogmatically; a bold and arrogant advancer of principles."
incipience "Alt. of Incipiency"
decimeter "Alt. of Decimetre"
gallygaskins "See Galligaskins."
arithmetical "Of or pertaining to arithmetic; according to the rules or method of arithmetic."
incoact "Alt. of Incoacted"
screw-driver "A tool for turning screws so as to drive them into their place. It has a thin end which enters the nick in the head of the screw."
taenidia "of Taenidium"
solenacean "Any species of marine bivalve shells belonging to the family Solenidae."
shoat "A young hog. Same as Shote."
scuta "See Scutum."
phylae "of Phyle"
curl "To raise in waves or undulations; to ripple."
rhymery "The art or habit of making rhymes; rhyming; -- in contempt."
nostoc "A genus of algae. The plants are composed of moniliform cells imbedded in a gelatinous substance."
tracing "A regular path or track; a course."
sexisyllable "A word of six syllables."
antediluvian "One who lived before the Deluge."
oxbane "A poisonous bulbous plant of the Cape of Good Hope."
crateriform "Having the form of a shallow bowl; -- said of a corolla."
inflamer "The person or thing that inflames."
drench "To steep in moisture; to wet thoroughly; to soak; to saturate with water or other liquid; to immerse."
bandaging "of Bandage"
legislate "To make or enact a law or laws."
tithing "of Tithe"
courtesy "Politeness; civility; urbanity; courtliness."
decanted "of Decant"
glumella "Alt. of Glumelle"
disoccident "To turn away from the west; to throw out of reckoning as to longitude."
infrigidation "The act of chilling or causing to become cold; a chilling; coldness; congelation."
sull "A plow."
calorifiant "See Calorificient."
wayworn "Wearied by traveling."
initiating "of Initiate"
evidenced "of Evidence"
sovereignize "To exercise supreme authority."
decoctible "Capable of being boiled or digested."
boothale "To forage for booty; to plunder."
matriculated "of Matriculate"
reins "The inward impulses; the affections and passions; -- so called because formerly supposed to have their seat in the part of the body where the kidneys are."
vessel "To put into a vessel."
sheathed "of Sheathe"
whit "The smallest part or particle imaginable; a bit; a jot; an iota; -- generally used in an adverbial phrase in a negative sentence."
tumidity "The quality or state of being tumid."
circumincession "The reciprocal existence in each other of the three persons of the Trinity."
collecting "of Collect"
homogeneal "Homogeneous."
interline "To mark or imprint with lines."
elumbated "Weak or lame in the loins."
shocking "of Shock"
prenomination "The act of prenominating; privilege of being named first."
ophidioid "One of the Ophidiidae."
ouranography "See Uranography."
diversities "of Diversity"
succeedant "Succeeding one another; following."
rescription "A writing back; the answering of a letter."
apocryphally "In an apocryphal manner; mythically; not indisputably."
taxation "Tax; sum imposed."
lenitiveness "The quality of being lenitive."
climax "Upward movement; steady increase; gradation; ascent."
reel "To roll."
inverting "of Invert"
letterless "Not having a letter."
assithment "See Assythment."
sphygmic "Of or pertaining to the pulse."
stuttering "of Stutter"
inextinct "Not quenched; not extinct."
impartialist "One who is impartial."
inanitiation "Inanition."
equivocal "A word or expression capable of different meanings; an ambiguous term; an equivoque."
thwacking "of Thwack"
cautioned "of Caution"
audacious "Daring; spirited; adventurous."
somnambulist "A person who is subject to somnambulism; one who walks in his sleep; a sleepwalker; a noctambulist."
bosses "of Boss"
inrailed "of Inrail"
attaminate "To corrupt; to defile; to contaminate."
defervescency "A subsiding from a state of ebullition; loss of heat; lukewarmness."
moldering "of Moulder"
horizon "The circle which bounds that part of the earth's surface visible to a spectator from a given point; the apparent junction of the earth and sky."
mainpin "A kingbolt."
cognoscible "Capable of being known."
dragonet "A little dragon."
subterraneal "Subterranean."
rotundo "See Rotunda."
cartbote "Wood to which a tenant is entitled for making and repairing carts and other instruments of husbandry."
experimentally "By experiment; by experience or trial."
steinkirk "A kind of neckcloth worn in a loose and disorderly fashion."
sunken "of Sink"
convocation "The act of calling or assembling by summons."
fizzle "To make a hissing sound."
ogeechee "lime The tree which bears this fruit."
coverlet "The uppermost cover of a bed or of any piece of furniture."
falsary "A falsifier of evidence."
enhanced "of Enhance"
disinheriting "of Disinherit"
metathetic "Alt. of Metathetical"
nassas "of Nassa"
uprear "To raise; to erect."
sanding "of Sand"
henhouses "of Henhouse"
gluing "of Glue"
trundlehead "One of the disks forming the ends of a lantern wheel or pinion."
strongyloid "A strongyloid worm."
dextrer "A war horse."
contusing "of Contuse"
biblist "One who makes the Bible the sole rule of faith."
flung "of Fling"
slammed "of Slam"
snapping "of Snap"
volta-electrometer "An instrument for the exact measurement of electric currents."
sciomancy "Divination by means of shadows."
trowl "See Troll."
oryctognosy "Mineralogy."
pell "To pelt; to knock about."
deterrence "That which deters; a deterrent; a hindrance."
yghe "Eye."
authorizer "One who authorizes."
trampled "of Trample"
viminal "Of or pertaining to twigs; consisting of twigs; producing twigs."
involucrated "Having an involucre; involucred."
landstreight "A narrow strip of land."
cloddy "Consisting of clods; full of clods."
drock "A water course."
speckled-bill "The American white-fronted goose ."
netfish "An astrophyton."
disincorporating "of Disincorporate"
hereafterward "Hereafter."
supporter "A knee placed under the cathead."
waned "of Wane"
iced "of Ice"
malling "of Mall"
belying "of Belie"
stoccado "A stab; a thrust with a rapier."
redfinch "The European linnet."
severed "of Sever"
coral "The ovaries of a cooked lobster; -- so called from their color."
observed "of Observe"
decitizenize "To deprive of the rights of citizenship."
twaddle "Silly talk; gabble; fustian."
gasteropod "Same as Gastropod."
smoothbore "Having a bore of perfectly smooth surface; -- distinguished from rifled."
casualism "The doctrine that all things exist or are controlled by chance."
greegree "An African talisman or Gri'gri' charm."
oxonate "A salt of oxonic acid."
thraw "See Throse."
sanction "Solemn or ceremonious ratification; an official act of a superior by which he ratifies and gives validity to the act of some other person or body; establishment or furtherance of anything by giving authority to it; confirmation; approbation."
leviration "Levirate marriage or marriages."
formulae "of Formula"
phantomatic "Phantasmal."
procreative "Having the power to beget; generative."
underpight "imp. of Underpitch."
irresolvability "The quality of being irresolvable; irresolvableness."
detergency "A cleansing quality or power."
spinney "Same as Spinny."
hybernacle "Alt. of Hybernation"
goldsmith "A banker."
snowplow "Alt. of Snowplough"
magnifical "Grand; splendid; illustrious; magnificent."
fatal "Foreboding death or great disaster."
seafarer "One who follows the sea as a business; a mariner; a sailor."
decrepitated "of Decrepitate"
kumish "Alt. of Kumiss"
postcornua "of Postcornu"
hypanthiums "of Hypanthium"
sutra "A precept; an aphorism; a brief rule."
nineteenth "Following the eighteenth and preceding the twentieth; coming after eighteen others."
cartographer "One who makes charts or maps."
dampening "of Dampen"
lightless "Destitute of light; dark."
demephitizing "of Demephitize"
dine "To eat the principal regular meal of the day; to take dinner."
pleached "of Pleach"
tanneries "of Tannery"
cyanometer "An instrument for measuring degress of blueness."
pommel "A knob or ball; an object resembling a ball in form"
spae "To foretell; to divine."
accidence "The rudiments of any subject."
atomization "The reduction of fluids into fine spray."
impearling "of Impearl"
petaliferous "Bearing petals."
feudalized "of Feudalize"
prepuce "The foreskin."
floricultural "Pertaining to the cultivation of flowering plants."
keuper "The upper division of the European Triassic. See Chart of Geology."
desinential "Terminal."
stochastic "Conjectural; able to conjecture."
dragman "A fisherman who uses a dragnet."
eyed "of Eye"
nectarous "Nectareous."
behowl "To howl at."
gobble "To swallow or eat greedily or hastily; to gulp."
indexing "of Index"
reimprison "To imprison again."
whoot "To hoot."
stannine "Alt. of Stannite"
ribaudequin "A huge bow fixed on the wall of a fortified town for casting javelins."
-ses "of Apophysis"
snowshoeing "Traveling on snowshoes."
paging "of Page"
bewailing "of Bewail"
annuller "One who annuls."
phytolithologist "One versed in phytolithology; a paleobotanist."
trench-plow "Alt. of Trench-plough"
conciliated "of Conciliate"
talewise "In a way of a tale or story."
yite "The European yellow-hammer."
glover "One whose trade it is to make or sell gloves."
notturno "Same as Nocturne."
statehouse "The building in which a State legislature holds its sessions; a State capitol."
descension "The act of going downward; descent; falling or sinking; declension; degradation."
enameler "Alt. of Enamelist"
lobelet "A small lobe; a lobule."
phthisic "Same as Phthisis."
twelvemonth "A year which consists of twelve calendar months."
physoclisti "An order of teleost in which the air bladder has no opening."
monogamist "One who practices or upholds monogamy."
upthunder "To send up a noise like thunder."
surculate "To purne; to trim."
myrobalan "Alt. of Myrobolan"
chaped "Furnished with a chape or chapes."
spermatozoa "of Spermatozoon"
needsly "Of necessity."
atropous "Not inverted; orthotropous."
collaboration "The act of working together; united labor."
questuary "Studious of profit."
past "A former time or state; a state of things gone by."
kinked "of Kink"
predestinarian "One who believes in or supports the doctrine of predestination."
stultified "of Stultify"
literalizing "of Literalize"
schemata "of Schema"
shovelnose "The common sand shark. See under Snad."
denization "The act of making one a denizen or adopted citizen; naturalization."
enfranchise "To endow with a franchise; to incorporate into a body politic and thus to invest with civil and political privileges; to admit to the privileges of a freeman."
chaunterie "See Chantry."
hoppet "An infant in arms."
bombace "Cotton; padding."
eared "of Ear"
eyen "Eyes."
intensive "Characterized by persistence; intent; unremitted; assiduous; intense."
extortious "Extortionate."
interpone "To interpose; to insert or place between."
partable "See Partible."
plexuses "of Plexus"
inanimation "Want of animation; lifeless; dullness."
replaceable "Capable or admitting of being put back into a place."
nasturtion "Same as Nasturtium."
diseasing "of Disease"
postposed "of Postpose"
telarly "In a weblike manner."
elocutive "Pertaining to oratorical expression."
