a "In; on; at; by."
aborticide "The act of destroying a fetus in the womb; feticide."
abortifacient "Producing miscarriage."
abortion "The immature product of an untimely birth."
abortional "Pertaining to abortion; miscarrying; abortive."
abortionist "One who procures abortion or miscarriage."
abortive "Rendering fruitless or ineffectual."
abortively "In an abortive or untimely manner; immaturely; fruitlessly."
abortiveness "The quality of being abortive."
abortment "Abortion."
abought "imp. & p. p. of Aby."
abounded "of Abound"
abounding "of Abound"
abound "To be in great plenty; to be very prevalent; to be plentiful."
about "Around; all round; on every side of."
about-sledge "The largest hammer used by smiths."
above "In or to a higher place; higher than; on or over the upper surface; over; -- opposed to below or beneath."
above-mentioned "Alt. of Above-named"
above-named "Mentioned or named before; aforesaid."
abovesaid "Mentioned or recited before."
abox "Braced aback."
abracadabra "A mystical word or collocation of letters written as in the figure. Worn on an amulet it was supposed to ward off fever. At present the word is used chiefly in jest to denote something without meaning; jargon."
abraded "of Abrade"
abrading "of Abrade"
abrade "Same as Abraid."
abrahamitic "Alt. of ical"
ical "Relating to the patriarch Abraham."
abraham-man "Alt. of Abram-man"
abranchial "Abranchiate."
abranchiate "Without gills."
abrase "Rubbed smooth."
abrasion "The substance rubbed off."
abrasive "Producing abrasion."
abraum "Alt. of Abraum salts"
abray "See Abraid."
abreast "At the same time; simultaneously."
abregge "See Abridge."
abrenounce "To renounce."
abrenunciation "Absolute renunciation or repudiation."
abreption "A snatching away."
abricock "See Apricot."
abridged "of Abridge"
abridging "of Abridge"
abridger "One who abridges."
abroach "Hence: In a state to be diffused or propagated; afoot; astir."
abroad "Before the public at large; throughout society or the world; here and there; widely."
abrogable "Capable of being abrogated."
abrogate "Abrogated; abolished."
abrogated "of Abrogate"
abrogating "of Abrogate"
abrogation "The act of abrogating; repeal by authority."
abrogator "One who repeals by authority."
abrood "In the act of brooding."
abrook "To brook; to endure."
abrupt "Without notice to prepare the mind for the event; sudden; hasty; unceremonious."
abruption "A sudden breaking off; a violent separation of bodies."
abruptly "Precipitously."
abruptness "The state of being abrupt or broken; craggedness; ruggedness; steepness."
abscesses "of Abscess"
abscind "To cut off."
abscision "See Abscission."
abscisses "of Absciss"
absciss "See Abscissa."
abscissas "of Abscissa"
abscissae "of Abscissa"
abscission "The act or process of cutting off."
absconded "of Abscond"
absconding "of Abscond"
abscond "To hide; to conceal."
abscondence "Fugitive concealment; secret retirement; hiding."
absconder "One who absconds."
absence "A state of being absent or withdrawn from a place or from companionship; -- opposed to presence."
absent "Being away from a place; withdrawn from a place; not present."
absented "of Absent"
absenting "of Absent"
absentaneous "Pertaining to absence."
absentation "The act of absenting one's self."
absenteeism "The state or practice of an absentee; esp. the practice of absenting one's self from the country or district where one's estate is situated."
absenter "One who absents one's self."
absently "In an absent or abstracted manner."
absentment "The state of being absent; withdrawal."
absent-minded "Absent in mind; abstracted; preoccupied."
absentness "The quality of being absent-minded."
absey-book "An A-B-C book; a primer."
absinthate "A combination of absinthic acid with a base or positive radical."
absinth "Alt. of Absinthe"
absinthe "The plant absinthium or common wormwood."
absinthial "Of or pertaining to wormwood; absinthian."
absinthian "Of the nature of wormwood."
absinthiate "To impregnate with wormwood."
absinthic "Relating to the common wormwood or to an acid obtained from it."
absinthin "The bitter principle of wormwood ."
absinthism "The condition of being poisoned by the excessive use of absinth."
absis "See Apsis."
absist "To stand apart from; top leave off; to desist."
absistence "A standing aloof."
absolute "Capable of being thought or conceived by itself alone; unconditioned; non-relative."
absoluteness "The quality of being absolute; independence of everything extraneous; unlimitedness; absolute power; independent reality; positiveness."
absolution "The form of words by which a penitent is absolved."
absolutism "The state of being absolute; the system or doctrine of the absolute; the principles or practice of absolute or arbitrary government; despotism."
absolutist "One who is in favor of an absolute or autocratic government."
absolutistic "Pertaining to absolutism; absolutist."
absolutory "Serving to absolve; absolving."
absolvable "That may be absolved."
absolvatory "Conferring absolution; absolutory."
absolved "of Absolve"
absolving "of Absolve"
absolve "To free from a penalty; to pardon; to remit ; -- said of the sin or guilt."
absolvent "Absolving."
absolver "One who absolves."
absonant "Discordant; contrary; -- opposed to consonant."
absonous "Discordant; inharmonious; incongruous."
absorbed "of Absorb"
absorbing "of Absorb"
absorb "To swallow up; to engulf; to overwhelm; to cause to disappear as if by swallowing up; to use up; to include."
absorbability "The state or quality of being absorbable."
absorbable "Capable of being absorbed or swallowed up."
absorbedly "In a manner as if wholly engrossed or engaged."
absorbency "Absorptiveness."
absorbent "Absorbing; swallowing; absorptive."
absorbition "Absorption."
absorpt "Absorbed."
absorptiveness "The quality of being absorptive; absorptive power."
absorptivity "Absorptiveness."
absquatulate "To take one's self off; to decamp."
abstained "of Abstain"
abstaining "of Abstain"
abstain "To hinder; to withhold."
abstemious "Abstaining from wine."
abstention "The act of abstaining; a holding aloof."
abstentious "Characterized by abstinence; self-restraining."
absterse "To absterge; to cleanse; to purge away."
abstersion "Act of wiping clean; a cleansing; a purging."
abstersive "Cleansing; purging."
abstersiveness "The quality of being abstersive."
abstinency "Abstinence."
abstinent "One who abstains."
abstinently "With abstinence."
abstorted "Wrested away."
abstract "Withdraw; separate."
abstracted "of Abstract"
abstracting "of Abstract"
abstractedly "In an abstracted manner; separately; with absence of mind."
abstractedness "The state of being abstracted; abstract character."
abstraction "Absence or absorption of mind; inattention to present objects."
abstractional "Pertaining to abstraction."
abstractionist "An idealist."
abstractitious "Obtained from plants by distillation."
abstractive "Having the power of abstracting; of an abstracting nature."
abstractively "In a abstract manner; separately; in or by itself."
abstractiveness "The quality of being abstractive; abstractive property."
abstractness "The quality of being abstract."
abstringe "To unbind."
abstrude "To thrust away."
abstruse "Concealed or hidden out of the way."
abstrusely "In an abstruse manner."
abstruseness "The quality of being abstruse; difficulty of apprehension."
abstrusion "The act of thrusting away."
abstrusity "Abstruseness; that which is abstruse."
absume "To consume gradually; to waste away."
absumption "Act of wasting away; a consuming; extinction."
absurd "An absurdity."
absurdities "of Absurdity"
absurdity "That which is absurd; an absurd action; a logical contradiction."
absurdly "In an absurd manner."
absurdness "Absurdity."
abundantly "In a sufficient degree; fully; amply; plentifully; in large measure."
aburst "In a bursting condition."
abusable "That may be abused."
abusage "Abuse."
abused "of Abuse"
abusing "of Abuse"
abuse "To revile; to reproach coarsely; to disparage."
abuseful "Full of abuse; abusive."
abuser "One who abuses [in the various senses of the verb]."
abusion "Evil or corrupt usage; abuse; wrong; reproach; deception; cheat."
abusive "Wrongly used; perverted; misapplied."
abusively "In an abusive manner; rudely; with abusive language."
abutted "of Abut"
abutting "of Abut"
abutment "State of abutting."
abuzz "In a buzz; buzzing."
aby "Alt. of Abye"
abye "To pay for; to suffer for; to atone for; to make amends for; to give satisfaction."
abysm "An abyss; a gulf."
abysmally "To a fathomless depth; profoundly."
abyss "Infinite time; a vast intellectual or moral depth."
abyssinian "Of or pertaining to Abyssinia."
acacias "of Acacia"
acaciae "of Acacia"
acacin "Alt. of Acacine"
acacine "Gum arabic."
academe "An academy."
academial "Academic."
academic "Alt. of Academical"
academically "In an academical manner."
academicals "The articles of dress prescribed and worn at some colleges and universities."
academician "A collegian."
academicism "A tenet of the Academic philosophy."
academism "The doctrines of the Academic philosophy."
academist "An Academic philosopher."
academies "of Academy"
academy "A place of training; a school."
acadian "A native of Acadie."
acalephs "of Acalephan"
acalephans "of Acalephan"
acaleph "Alt. of Acalephan"
acalephan "One of the Acalephae."
acalephoid "Belonging to or resembling the Acalephae or jellyfishes."
acalycine "Alt. of Acalysinous"
acanth "Same as Acanthus."
acantha "A prickle."
acanthocarpous "Having the fruit covered with spines."
acanthophorous "Spine-bearing."
acanthopodious "Having spinous petioles."
acanthopteri "A group of teleostean fishes having spiny fins. See Acanthopterygii."
acanthopterous "Spiny-winged."
acanthopterygian "A spiny-finned fish."
acanthopterygious "Having fins in which the rays are hard and spinelike; spiny-finned."
acanthuses "of Acanthus"
acanthi "of Acanthus"
acanthus "An ornament resembling the foliage or leaves of the acanthus ; -- used in the capitals of the Corinthian and Composite orders."
acapsular "Having no capsule."
acaroid "Shaped like or resembling a mite."
acarpellous "Having no carpels."
acarpous "Not producing fruit; unfruitful."
acari "of Acarus"
acarus "A genus including many species of small mites."
acatalectic "A verse which has the complete number of feet and syllables."
acataleptic "Incapable of being comprehended; incomprehensible."
acater "See Caterer."
acates "See Cates."
acaudate "Tailless."
acauline "Same as Acaulescent."
acaulose "Alt. of Acaulous"
acaulous "Same as Acaulescent."
accadian "Pertaining to a race supposed to have lived in Babylonia before the Assyrian conquest."
acceded "of Accede"
acceding "of Accede"
accede "To approach; to come forward; -- opposed to recede."
accedence "The act of acceding."
acceder "One who accedes."
accelerando "Gradually accelerating the movement."
accelerated "of Accelerate"
accelerating "of Accelerate"
accelerate "To cause to move faster; to quicken the motion of; to add to the speed of; -- opposed to retard."
accelerative "Relating to acceleration; adding to velocity; quickening."
acceleratory "Accelerative."
accelerometer "An apparatus for measuring the velocity imparted by gunpowder."
accend "To set on fire; to kindle."
accendible "Capable of being inflamed or kindled; combustible; inflammable."
accension "The act of kindling or the state of being kindled; ignition."
accensor "One of the functionaries who light and trim the tapers."
accent "A word; a significant tone"
accented "of Accent"
accenting "of Accent"
accentless "Without accent."
accentor "One who sings the leading part; the director or leader."
accentuable "Capable of being accented."
accentual "Of or pertaining to accent; characterized or formed by accent."
accentuality "The quality of being accentual."
accentually "In an accentual manner; in accordance with accent."
accentuated "of Accentuate"
accentuating "of Accentuate"
accentuate "To pronounce with an accent or with accents."
accentuation "Act of accentuating; applications of accent."
accepted "of Accept"
accepting "of Accept"
accept "To receive with favor; to approve."
acceptability "The quality of being acceptable; acceptableness."
acceptably "In an acceptable manner; in a manner to please or give satisfaction."
acceptance "State of being accepted; acceptableness."
acceptancy "Acceptance."
acceptant "Accepting; receiving."
acceptation "Acceptance; reception; favorable reception or regard; state of being acceptable."
acceptedly "In a accepted manner; admittedly."
accepter "A person who accepts; a taker."
acceptilation "Gratuitous discharge; a release from debt or obligation without payment; free remission."
acception "Acceptation; the received meaning."
acceptive "Fit for acceptance."
acceptor "One who accepts"
access "Admission to sexual intercourse."
accessarily "In the manner of an accessary."
accessariness "The state of being accessary."
accessaries "of Accessary"
accessible "Open to the influence of; -- with to."
accessibly "In an accessible manner."
accession "The act by which one power becomes party to engagements already in force between other powers."
accessional "Pertaining to accession; additional."
accessive "Additional."
accessorily "In the manner of an accessory; auxiliary."
accessories "of Accessory"
accessory "That which belongs to something else deemed the principal; something additional and subordinate."
accidence "The rudiments of any subject."
accident "A point or mark which may be retained or omitted in a coat of arms."
accidental "A property which is not essential; a nonessential; anything happening accidentally."
accidentalism "Accidental character or effect."
accidentality "The quality of being accidental; accidentalness."
accidentally "In an accidental manner; unexpectedly; by chance; unintentionally; casually; fortuitously; not essentially."
accidentalness "The quality of being accidental; casualness."
accidie "Sloth; torpor."
accipenser "See Acipenser."
accipient "A receiver."
accipiters "of Accipiter"
accipitres "of Accipiter"
accipiter "A genus of rapacious birds; one of the Accipitres or Raptores."
accipitrine "Like or belonging to the Accipitres; raptorial; hawklike."
accismus "Affected refusal; coyness."
accite "To cite; to summon."
acclaim "To applaud."
acclaimer "One who acclaims."
acclimatable "Capable of being acclimated."
acclimatation "Acclimatization."
acclimated "of Acclimate"
acclimating "of Acclimate"
acclimate "To habituate to a climate not native; to acclimatize."
acclimatement "Acclimation."
acclimatizable "Capable of being acclimatized."
acclimatized "of Acclimatize"
acclimatizing "of Acclimatize"
acclive "Acclivous."
acclivitous "Acclivous."
acclivities "of Acclivity"
acclivous "Sloping upward; rising as a hillside; -- opposed to declivous."
accloy "To fill to satiety; to stuff full; to clog; to overload; to burden. See Cloy."
accoast "To lie or sail along the coast or side of; to accost."
accoil "To gather together; to collect."
accolade "A brace used to join two or more staves."
accombination "A combining together."
accommodableness "The quality or condition of being accommodable."
accommodated "of Accommodate"
accommodating "of Accommodate"
accommodate "To adapt one's self; to be conformable or adapted."
accommodately "Suitably; fitly."
accommodateness "Fitness."
accommodation "Willingness to accommodate; obligingness."
accompanable "Sociable."
accompanist "The performer in music who takes the accompanying part."
accompanied "of Accompany"
accompanying "of Accompany"
accompany "To cohabit with."
accompletive "Tending to accomplish."
accomplice "A cooperator."
accompliceship "The state of being an accomplice."
accomplicity "The act or state of being an accomplice."
accomplished "of Accomplish"
accomplishing "of Accomplish"
accomplish "To gain; to obtain."
accomplishable "Capable of being accomplished; practicable."
accomplisher "One who accomplishes."
accompt "See Account."
accomptable "See Accountable."
accomptant "See Accountant."
accorded "of Accord"
according "of Accord"
accord "To make to agree or correspond; to suit one thing to another; to adjust; -- followed by to."
accordable "Agreeing."
accordance "Agreement; harmony; conformity."
accordancy "Accordance."
accordant "Agreeing; consonant; harmonious; corresponding; conformable; -- followed by with or to."
accordantly "In accordance or agreement; agreeably; conformably; -- followed by with or to."
accordingly "Agreeably; correspondingly; suitably; in a manner conformable."
accordionist "A player on the accordion."
accordment "Agreement; reconcilement."
accorporate "To unite; to attach; to incorporate."
accosted "of Accost"
accosting "of Accost"
accost "To approach; to make up to."
accostable "Approachable; affable."
accouchement "Delivery in childbed"
accoucheur "A man who assists women in childbirth; a man midwife; an obstetrician."
accoucheuse "A midwife."
account "A statement and explanation or vindication of one's conduct with reference to judgment thereon."
accounted "of Account"
accounting "of Account"
accountability "The state of being accountable; liability to be called on to render an account; accountableness."
accountable "Capable of being accounted for; explicable."
accountably "In an accountable manner."
accountancy "The art or employment of an accountant."
accountant "One who renders account; one accountable."
accountantship "The office or employment of an accountant."
accouple "To join; to couple."
accourage "To encourage."
accourt "To treat courteously; to court."
accoutered "of Accoutre"
accoutred "of Accoutre"
accoutering "of Accoutre"
accoutring "of Accoutre"
accouter "Alt. of Accoutre"
accouterments "Alt. of Accoutrements"
accoy "To render quiet; to soothe."
accredited "of Accredit"
accrediting "of Accredit"
accredit "To put or bring into credit; to invest with credit or authority; to sanction."
accrementitial "Pertaining to accremention."
accresce "To accrue."
accrescence "Continuous growth; an accretion."
accrescent "Growing; increasing."
accrete "To grow together."
accretion "The act of increasing by natural growth; esp. the increase of organic bodies by the internal accession of parts; organic growth."
accriminate "To accuse of a crime."
accroachment "An encroachment; usurpation."
accrual "Accrument."
accrued "of Accrue"
accruing "of Accrue"
accrue "To increase; to augment."
accumbency "The state of being accumbent or reclining."
accumbent "One who reclines at table."
accumber "To encumber."
accumulated "of Accumulate"
accumulating "of Accumulate"
accumulate "To grow or increase in quantity or number; to increase greatly."
accumulation "The concurrence of several titles to the same proof."
accumulative "Characterized by accumulation; serving to collect or amass; cumulative; additional."
accurate "Precisely fixed; executed with care; careful."
accurately "In an accurate manner; exactly; precisely; without error or defect."
accurateness "The state or quality of being accurate; accuracy; exactness; nicety; precision."
accurse "To devote to destruction; to imprecate misery or evil upon; to curse; to execrate; to anathematize."
accursed "Alt. of Accurst"
accusable "Liable to be accused or censured; chargeable with a crime or fault; blamable; -- with of."
accusal "Accusation."
accusant "An accuser."
accusation "The act of accusing or charging with a crime or with a lighter offense."
accusatival "Pertaining to the accusative case."
accusative "Producing accusations; accusatory."
accusatively "In an accusative manner."
accusatorial "Accusatory."
accusatorially "By way accusation."
accuse "Accusation."
accused "of Accuse"
accusing "of Accuse"
accusement "Accusation."
accuser "One who accuses; one who brings a charge of crime or fault."
accusingly "In an accusing manner."
accustomed "of Accustom"
accustoming "of Accustom"
accustom "To be wont."
accustomable "Habitual; customary; wonted."
accustomably "According to custom; ordinarily; customarily."
accustomance "Custom; habitual use."
accustomarily "Customarily."
accustomary "Usual; customary."
accustomedness "Habituation."
aces "of Ace"
ace "Hence: A very small quantity or degree; a particle; an atom; a jot."
acentric "Not centered; without a center."
acephal "One of the Acephala."
acephalan "Same as Acephal."
acephali "A fabulous people reported by ancient writers to have heads."
acephalist "One who acknowledges no head or superior."
acephalous "Headless."
acerate "A combination of aceric acid with a salifiable base."
acerbate "To sour; to imbitter; to irritate."
acerbic "Sour or severe."
acerbitude "Sourness and harshness."
acerose "Having the nature of chaff; chaffy."
acerous "Same as Acerose."
acerval "Pertaining to a heap."
acervate "To heap up."
acervation "A heaping up; accumulation."
acervative "Heaped up; tending to heap up."
acervose "Full of heaps."
acervuline "Resembling little heaps."
acescence "Alt. of Acescency"
acescency "The quality of being acescent; the process of acetous fermentation; a moderate degree of sourness."
acescent "Turning sour; readily becoming tart or acid; slightly sour."
acetable "An acetabulum; or about one eighth of a pint."
acetabular "Cup-shaped; saucer-shaped; acetabuliform."
acetabulum "The bony cup which receives the head of the thigh bone."
acetaldehyde "Acetic aldehyde. See Aldehyde."
acetated "Combined with acetic acid."
acetifier "An apparatus for hastening acetification."
acetified "of Acetify"
acetifying "of Acetify"
acetify "To convert into acid or vinegar."
acetimeter "An instrument for estimating the amount of acetic acid in vinegar or in any liquid containing acetic acid."
acetin "A combination of acetic acid with glycerin."
acetize "To acetify."
acetometer "Same as Acetimeter."
acetose "Sour like vinegar; acetous."
acetosity "The quality of being acetous; sourness."
acetous "Having a sour taste; sour; acid."
ach "Alt. of Ache"
achaean "Alt. of Achaian"
achaian "A native of Achaia; a Greek."
acharnement "Savage fierceness; ferocity."
achate "An agate."
achatour "Purveyor; acater."
ached "of Ache"
aching "of Ache"
achene "Alt. of Achenium"
achenial "Pertaining to an achene."
achievable "Capable of being achieved."
achievance "Achievement."
achieved "of Achieve"
achieving "of Achieve"
achieve "To finish; to kill."
achievement "An escutcheon or ensign armorial; now generally applied to the funeral shield commonly called hatchment."
achiever "One who achieves; a winner."
achilous "Without a lip."
achlamydate "Not possessing a mantle; -- said of certain gastropods."
acholia "Deficiency or want of bile."
acholous "Lacking bile."
achromatic "Free from color; transmitting light without decomposing it into its primary colors."
achromatically "In an achromatic manner."
achromaticity "Achromatism."
achromatin "Tissue which is not stained by fluid dyes."
achromatization "The act or process of achromatizing."
achromatized "of Achromatize"
achromatizing "of Achromatize"
achromatize "To deprive of color; to make achromatic."
achromatopsy "Color blindness; inability to distinguish colors; Daltonism."
achronic "See Acronyc."
achroodextrin "Dextrin not colorable by iodine. See Dextrin."
achroous "Colorless; achromatic."
achylous "Without chyle."
achymous "Without chyme."
aciculae "of Acicula"
aciculate "Alt. of Aciculated"
aciculated "Furnished with aciculae."
aciculiform "Needle-shaped; acicular."
aciculite "Needle ore."
acid "A sour substance."
acidic "Containing a high percentage of silica; -- opposed to basic."
acidiferous "Containing or yielding an acid."
acidific "Producing acidity; converting into an acid."
acidified "of Acidify"
acidifying "of Acidify"
acidify "To sour; to imbitter."
acidimeter "An instrument for ascertaining the strength of acids."
acidly "Sourly; tartly."
acidness "Acidity; sourness."
acidulated "of Acidulate"
acidulating "of Acidulate"
acidulate "To make sour or acid in a moderate degree; to sour somewhat."
acidulent "Having an acid quality; sour; acidulous."
acierage "The process of coating the surface of a metal plate with steellike iron by means of voltaic electricity; steeling."
aciform "Shaped like a needle."
acinaces "A short sword or saber."
acinesia "Same as Akinesia."
acinetiform "Resembling the Acinetae."
aciniform "Having the form of a cluster of grapes; clustered like grapes."
acinose "Alt. of Acinous"
acini "of Acinus"
acinus "A grapestone."
aciurgy "Operative surgery."
acknow "To recognize."
acknowledged "of Acknowledge"
acknowledging "of Acknowledge"
acknowledge "To own or recognize in a particular character or relationship; to admit the claims or authority of; to give recognition to."
acknowledgedly "Confessedly."
acknowledger "One who acknowledges."
acknowledgment "The act of acknowledging; admission; avowal; owning; confession."
acme "The top or highest point; the culmination."
acnodal "Pertaining to acnodes."
acock "In a cocked or turned up fashion."
acockbill "Topped up; having one yardarm higher than the other."
acold "Cold."
acologic "Pertaining to acology."
acology "Materia medica; the science of remedies."
acolothist "See Acolythist."
